Avro,1.1%,0.5%,50.0%,16.7%,6.7%
Cassandra,7.6%,1.6%,33.4%,3.1%,0.9%
Flume,2.8%,1.1%,100.0%,43.6%,17.2%
Hadoop,5.2%,1.7%,38.6%,24.2%,13.6%
Hbase,5.4%,1.7%,49.6%,11.9%,4.7%
Log4j2,2.8%,0.4%,61.5%,17.6%,1.0%
Mahout,1.6%,1.2%,10.0%,0.0%,0.0%
Mina,4.4%,0.2%,100.0%,100.0%,0.0%
Openjpa,6.9%,1.2%,66.0%,31.7%,13.4%
Pdfbox,11.1%,1.1%,34.5%,33.3%,6.1%
Pig,10.4%,2.2%,38.5%,17.4%,6.5%
Tika,3.9%,0.3%,40.4%,31.4%,21.3%
Zookeeper,11.7%,5.8%,46.1%,9.3%,0.4%
Cxf,2.7%,0.5%,44.5%,22.2%,14.7%
Camel,5.3%,2.0%,47.3%,17.5%,3.1%
Avg,5.5%,1.4%,50.7%,25.3%,7.3%
