num,Type,version,FBR,FCR
0,SFG,camel-1.1.0,27.84337349,41.60227273
1,SFG,camel-1.2.0,22.74576271,32.21212121
2,SFG,camel-1.3.0,20.74626866,29.47887324
3,SFG,camel-1.3.0-RC1,22.30769231,31.43055556
4,SFG,camel-1.3.0-RC2,20.88888889,30.89333333
5,SFG,camel-1.3.0-RC4,20.74626866,29.50704225
6,SFG,camel-1.3.0-RC5,20.74626866,29.47887324
7,SFG,camel-1.4.0-RC2,21.97883598,31.265
8,SFG,camel-1.4.0-RC4,21.26262626,30.08056872
9,SFG,camel-1.4.0-RC5,21.23232323,30.03791469
10,SFG,camel-1.5.0,17.97727273,25.02109705
11,SFG,camel-1.5.0-RC1,18.00456621,25.03813559
12,SFG,camel-1.5.0-RC2,17.97727273,25.02109705
13,SFG,camel-1.6.0,16.47340426,23.60194175
14,SFG,camel-1.6.0-RC1,16.44670051,23.6
15,SFG,camel-1.6.1,15.59047619,22.76521739
16,SFG,camel-1.6.2,15.23148148,22.48535565
17,SFG,camel-1.6.3,14.51851852,21.79237288
18,SFG,camel-1.6.4,14.47004608,21.72151899
19,SFG,camel-2.0-M1,13.05576208,19.03114187
20,SFG,camel-2.0-M2,14.93103448,20.5125
21,SFG,camel-2.0-M3,6.001355014,8.674907293
22,SFG,camel-2.0-RC1,5.754569191,8.33213859
23,SFG,camel-2.1.0,9.721485411,13.825
24,SFG,camel-2.10.0,4.281622912,6.016885553
25,SFG,camel-2.10.1,4.172576832,5.94619666
26,SFG,camel-2.10.2,4.171837709,6.033210332
27,SFG,camel-2.10.3,4.116389549,6.016393443
28,SFG,camel-2.10.6,3.985294118,5.925399645
29,SFG,camel-2.10.7,3.960591133,5.916666667
30,SFG,camel-2.11.0,4.219262295,6.043697479
31,SFG,camel-2.11.1,4.073469388,6.004966887
32,SFG,camel-2.11.2,4,5.998363339
33,SFG,camel-2.11.3,3.920245399,5.977309562
34,SFG,camel-2.11.4,3.919917864,5.991869919
35,SFG,camel-2.12.0,4.516129032,6.297482838
36,SFG,camel-2.12.1,4.432748538,6.272727273
37,SFG,camel-2.12.2,4.376854599,6.286681716
38,SFG,camel-2.12.3,4.31097561,6.309954751
39,SFG,camel-2.12.4,4.232415902,6.340807175
40,SFG,camel-2.12.5,4.137614679,6.329621381
41,SFG,camel-2.2.0,7,11.42857143
42,SFG,camel-2.3.0,7.542124542,10.84655172
43,SFG,camel-2.4.0,7.254799302,10.46843854
44,SFG,camel-2.5.0,6.619124797,9.692068429
45,SFG,camel-2.6.0,6.153729072,8.809798271
46,SFG,camel-2.7.0,6.172541744,8.50882825
47,SFG,camel-2.7.1,6.168831169,8.50882825
48,SFG,camel-2.7.2,6.163265306,8.50882825
49,SFG,camel-2.7.3,6.070110701,8.484848485
50,SFG,camel-2.7.4,6.066420664,8.484848485
51,SFG,camel-2.7.5,6.033088235,8.458730159
52,SFG,camel-2.8.0,5.847533632,7.87037037
53,SFG,camel-2.8.1,5.795555556,7.878228782
54,SFG,camel-2.8.2,5.622807018,7.763963964
55,SFG,camel-2.8.3,5.549019608,7.737030411
56,SFG,camel-2.8.4,4.745614035,6.88
57,SFG,camel-2.8.6,4.764179104,6.868544601
58,SFG,camel-2.9.2,4.41509434,6.390243902
59,SFG,camel-2.9.4,4.531100478,6.65625
60,SFG,camel-2.9.5,4.531100478,6.663003663
61,SFG,camel-2.9.8,0,0
0,AFG,camel-1.1.0,0.663665595,1.248993754
1,AFG,camel-1.2.0,0.660266037,1.236501531
2,AFG,camel-1.3.0,0.64635064,1.209132102
3,AFG,camel-1.3.0-RC1,0.653858538,1.22464323
4,AFG,camel-1.3.0-RC2,0.650735689,1.218660721
5,AFG,camel-1.3.0-RC4,0.647248495,1.210302523
6,AFG,camel-1.3.0-RC5,0.64635064,1.209132102
7,AFG,camel-1.4.0-RC2,0.63651085,1.186002654
8,AFG,camel-1.4.0-RC4,0.632386302,1.178192232
9,AFG,camel-1.4.0-RC5,0.631522091,1.176947258
10,AFG,camel-1.5.0,0.613407094,1.144428101
11,AFG,camel-1.5.0-RC1,0.613515566,1.145268614
12,AFG,camel-1.5.0-RC2,0.613407094,1.144428101
13,AFG,camel-1.6.0,0.603234911,1.144428101
14,AFG,camel-1.6.0-RC1,0.603234911,1.144428101
15,AFG,camel-1.6.1,0.598849202,1.144428101
16,AFG,camel-1.6.2,0.59452412,1.144428101
17,AFG,camel-1.6.3,0.592677097,1.144428101
18,AFG,camel-1.6.4,0.592677097,1.144428101
19,AFG,camel-2.0-M1,0.596783139,1.103844234
20,AFG,camel-2.0-M2,0.582932019,1.080595075
21,AFG,camel-2.0-M3,0.579102115,1.064228173
22,AFG,camel-2.0-RC1,0.57581944,1.054260187
23,AFG,camel-2.1.0,0.556480109,1.015300146
24,AFG,camel-2.10.0,0.517888156,0.877850005
25,AFG,camel-2.10.1,0.511644195,0.875352181
26,AFG,camel-2.10.2,0.504577465,0.875352181
27,AFG,camel-2.10.3,0.49584879,0.875352181
28,AFG,camel-2.10.6,0.476672694,0.875352181
29,AFG,camel-2.10.7,0.468574534,0.875352181
30,AFG,camel-2.11.0,0.471472629,0.825649351
31,AFG,camel-2.11.1,0.458617332,0.825649351
32,AFG,camel-2.11.2,0.443529412,0.825649351
33,AFG,camel-2.11.3,0.427358863,0.825649351
34,AFG,camel-2.11.4,0.423715415,0.825649351
35,AFG,camel-2.12.0,0.461194982,0.804172038
36,AFG,camel-2.12.1,0.454836643,0.804172038
37,AFG,camel-2.12.2,0.434219054,0.804172038
38,AFG,camel-2.12.3,0.411636045,0.804172038
39,AFG,camel-2.12.4,0.395943563,0.804172038
40,AFG,camel-2.12.5,0.382795223,0.804172038
41,AFG,camel-2.2.0,0.544829955,0.996467211
42,AFG,camel-2.3.0,0.529534399,0.962671029
43,AFG,camel-2.4.0,0.515457927,0.940600717
44,AFG,camel-2.5.0,0.494811706,0.914164713
45,AFG,camel-2.6.0,0.478490832,0.886251236
46,AFG,camel-2.7.0,0.548159424,0.932509817
47,AFG,camel-2.7.1,0.548159424,0.932509817
48,AFG,camel-2.7.2,0.547744257,0.932509817
49,AFG,camel-2.7.3,0.541649342,0.932509817
50,AFG,camel-2.7.4,0.541233541,0.932509817
51,AFG,camel-2.7.5,0.538130893,0.932509817
52,AFG,camel-2.8.0,0.536246563,0.913345181
53,AFG,camel-2.8.1,0.534887087,0.913345181
54,AFG,camel-2.8.2,0.526483819,0.913345181
55,AFG,camel-2.8.3,0.520621551,0.913345181
56,AFG,camel-2.8.4,0.515155931,0.913345181
57,AFG,camel-2.8.6,0.510566481,0.913345181
58,AFG,camel-2.9.2,0.515243416,0.904099627
59,AFG,camel-2.9.4,0.498462534,0.904099627
60,AFG,camel-2.9.5,0.493033052,0.904099627
61,AFG,camel-2.9.8,0,0
0,BFG,camel-1.1.0,4.770947954,6.573894897
1,BFG,camel-1.2.0,4.752355657,6.529817239
2,BFG,camel-1.3.0,4.70891039,6.37962436
3,BFG,camel-1.3.0-RC1,4.732182382,6.49573136
4,BFG,camel-1.3.0-RC2,4.723961298,6.438879403
5,BFG,camel-1.3.0-RC4,4.711439954,6.383418706
6,BFG,camel-1.3.0-RC5,4.70891039,6.37962436
7,BFG,camel-1.4.0-RC2,4.639979763,6.279074179
8,BFG,camel-1.4.0-RC4,4.629229115,6.263201164
9,BFG,camel-1.4.0-RC5,4.627648138,6.260228926
10,BFG,camel-1.5.0,4.550749383,6.147473598
11,BFG,camel-1.5.0-RC1,4.551824448,6.14943401
12,BFG,camel-1.5.0-RC2,4.550749383,6.147473598
13,BFG,camel-1.6.0,4.550749383,6.147473598
14,BFG,camel-1.6.0-RC1,4.550749383,6.147473598
15,BFG,camel-1.6.1,4.550749383,6.147473598
16,BFG,camel-1.6.2,4.550749383,6.147473598
17,BFG,camel-1.6.3,4.550749383,6.147473598
18,BFG,camel-1.6.4,4.550749383,6.147473598
19,BFG,camel-2.0-M1,4.326377032,5.856067792
20,BFG,camel-2.0-M2,4.214317334,5.719091886
21,BFG,camel-2.0-M3,4.135900841,5.620185923
22,BFG,camel-2.0-RC1,4.112945045,5.585910327
23,BFG,camel-2.1.0,4.043634984,5.419085563
24,BFG,camel-2.10.0,2.886612281,3.951052931
25,BFG,camel-2.10.1,2.880478088,3.94333776
26,BFG,camel-2.10.2,2.880478088,3.94333776
27,BFG,camel-2.10.3,2.880478088,3.94333776
28,BFG,camel-2.10.6,2.880478088,3.94333776
29,BFG,camel-2.10.7,2.880478088,3.94333776
30,BFG,camel-2.11.0,2.719218365,3.694808069
31,BFG,camel-2.11.1,2.719218365,3.694808069
32,BFG,camel-2.11.2,2.719218365,3.694808069
33,BFG,camel-2.11.3,2.719218365,3.694808069
34,BFG,camel-2.11.4,2.719218365,3.694808069
35,BFG,camel-2.12.0,2.569088724,3.505343705
36,BFG,camel-2.12.1,2.569088724,3.505343705
37,BFG,camel-2.12.2,2.569088724,3.505343705
38,BFG,camel-2.12.3,2.569088724,3.505343705
39,BFG,camel-2.12.4,2.569088724,3.505343705
40,BFG,camel-2.12.5,2.569088724,3.505343705
41,BFG,camel-2.2.0,3.998924935,5.351799153
42,BFG,camel-2.3.0,3.892114083,5.198254601
43,BFG,camel-2.4.0,3.82368937,5.114083349
44,BFG,camel-2.5.0,3.764750522,5.033643205
45,BFG,camel-2.6.0,3.697464112,4.928792765
46,BFG,camel-2.7.0,3.400619743,4.618035793
47,BFG,camel-2.7.1,3.400619743,4.618035793
48,BFG,camel-2.7.2,3.400619743,4.618035793
49,BFG,camel-2.7.3,3.400619743,4.618035793
50,BFG,camel-2.7.4,3.400619743,4.618035793
51,BFG,camel-2.7.5,3.400619743,4.618035793
52,BFG,camel-2.8.0,3.261240751,4.444950357
53,BFG,camel-2.8.1,3.261240751,4.444950357
54,BFG,camel-2.8.2,3.261240751,4.444950357
55,BFG,camel-2.8.3,3.261240751,4.444950357
56,BFG,camel-2.8.4,3.261240751,4.444950357
57,BFG,camel-2.8.6,3.261240751,4.444950357
58,BFG,camel-2.9.2,3.056788718,4.175867957
59,BFG,camel-2.9.4,3.056788718,4.175867957
60,BFG,camel-2.9.5,3.056788718,4.175867957
61,BFG,camel-2.9.8,0,0
