num,Type,version,FBR,FCR
0,SFG,cassandra-0.3.0-final,139.75,134.5
1,SFG,cassandra-0.3.0-rc1,146.5,161.6
2,SFG,cassandra-0.3.0-rc2,139.75,134.5
3,SFG,cassandra-0.3.0-rc3,112.6,108.7
4,SFG,cassandra-0.4.0-beta1,62.63636364,108.6
5,SFG,cassandra-0.4.0-final,71.17391304,126.9347826
6,SFG,cassandra-0.4.0-rc1,80.15384615,141.025641
7,SFG,cassandra-0.4.0-rc2,61.95454545,110.5227273
8,SFG,cassandra-0.4.1,89.53658537,157.9512195
9,SFG,cassandra-0.4.2,89.53658537,157.9512195
10,SFG,cassandra-0.5.0,67.5,118.5714286
11,SFG,cassandra-0.5.0-beta1,74.74509804,132.9607843
12,SFG,cassandra-0.5.0-beta2,73.8,131
13,SFG,cassandra-0.5.0-rc1,67.5,118.5714286
14,SFG,cassandra-0.5.0-rc2,82.55882353,145.2647059
15,SFG,cassandra-0.5.0-rc3,67.5,118.5714286
16,SFG,cassandra-0.5.1,67.45238095,118.5714286
17,SFG,cassandra-0.6.0-beta1,64.61538462,114.8717949
18,SFG,cassandra-0.6.0-beta2,55.67346939,98.93877551
19,SFG,cassandra-0.6.0-beta3,56.64285714,100.047619
20,SFG,cassandra-0.6.2,92.75,185
21,SFG,cassandra-0.6.3,92.75,185
22,SFG,cassandra-0.7.0-beta1,86.14285714,142.6428571
23,SFG,cassandra-0.7.0-beta2,89.57142857,140.9285714
24,SFG,cassandra-0.7.1,29.84722222,50.43835616
25,SFG,cassandra-0.7.10,28.61111111,48.83561644
26,SFG,cassandra-0.7.2,29.81944444,50.39726027
27,SFG,cassandra-0.7.3,29.84931507,50.37837838
28,SFG,cassandra-0.7.4,29.43835616,49.7027027
29,SFG,cassandra-0.7.5,29.08333333,49.42465753
30,SFG,cassandra-0.7.6,28.79166667,49.06849315
31,SFG,cassandra-0.7.6-2,28.84722222,49.15068493
32,SFG,cassandra-0.7.7,28.70833333,48.98630137
33,SFG,cassandra-0.7.8,28.69444444,48.95890411
34,SFG,cassandra-0.7.9,28.68055556,48.93150685
35,SFG,cassandra-0.8.0,40.67346939,62.23529412
36,SFG,cassandra-0.8.0-beta1,48.23188406,71.43835616
37,SFG,cassandra-0.8.0-beta2,47.85507246,70.83561644
38,SFG,cassandra-0.8.0-rc1,48.11764706,71.25
39,SFG,cassandra-0.8.1,36.72093023,55.62222222
40,SFG,cassandra-0.8.10,31.27027027,47.48717949
41,SFG,cassandra-0.8.2,35.77777778,54.87234043
42,SFG,cassandra-0.8.4,32,48.41025641
43,SFG,cassandra-0.8.5,31.7027027,48
44,SFG,cassandra-0.8.6,31.62162162,47.92307692
45,SFG,cassandra-0.8.7,31.62162162,47.8974359
46,SFG,cassandra-0.8.8,31.35135135,47.56410256
47,SFG,cassandra-0.8.9,31.35135135,47.56410256
48,SFG,cassandra-1.0.0,31.12121212,48.64705882
49,SFG,cassandra-1.0.0-beta1,31.48484848,49.17647059
50,SFG,cassandra-1.0.0-rc1,31.24242424,48.82352941
