num,Type,version,FBR,FCR
0,SFG,cxf-2.1,6.89010989,12.79365079
1,SFG,cxf-2.1.1,6.589333333,12.00976563
2,SFG,cxf-2.1.10,6.719346049,13.80839416
3,SFG,cxf-2.1.4,6.661290323,13.11428571
4,SFG,cxf-2.1.5,6.926121372,13.79329609
5,SFG,cxf-2.2,7.253196931,13.28066914
6,SFG,cxf-2.2.10,6.768447837,13.7585034
7,SFG,cxf-2.2.11,6.646616541,13.49246231
8,SFG,cxf-2.2.2,7.134020619,12.78453039
9,SFG,cxf-2.2.5,7.171215881,13.4604811
10,SFG,cxf-2.2.7,6.872235872,13.50254669
11,SFG,cxf-2.3.0,6.924637681,12.06916996
12,SFG,cxf-2.3.10,5.586956522,11.20744681
13,SFG,cxf-2.3.2,6.335978836,11.30935252
14,SFG,cxf-2.3.3,6.214854111,11.29569892
15,SFG,cxf-2.3.9,5.629032258,11.22735346
16,SFG,cxf-2.4.5,5.530791789,10.42482517
17,SFG,cxf-2.4.6,5.510385757,10.42482517
18,SFG,cxf-2.4.7,5.307210031,10.19257951
19,SFG,cxf-2.4.8,5.265060241,10.32173913
20,SFG,cxf-2.4.9,5.128930818,10.18342152
21,SFG,cxf-2.5.0,5.543417367,10.15329768
22,SFG,cxf-2.5.2,5.414492754,9.520992366
23,SFG,cxf-2.5.3,5.198250729,9.423817863
24,SFG,cxf-2.5.4,5.06122449,9.423817863
25,SFG,cxf-2.5.7,4.950581395,9.610726644
26,SFG,cxf-2.5.8,4.927113703,9.652849741
27,SFG,cxf-2.5.9,4.912280702,9.639794168
28,SFG,cxf-2.6.1,5.128358209,9.478682171
29,SFG,cxf-2.6.11,4.449541284,8.889643463
30,SFG,cxf-2.6.12,4.385321101,8.889643463
31,SFG,cxf-2.6.14,4.353846154,8.889643463
32,SFG,cxf-2.6.15,4.329192547,8.889643463
33,SFG,cxf-2.6.16,4.71031746,8.794059406
34,SFG,cxf-2.6.7,4.728070175,8.876480541
35,SFG,cxf-2.7.1,4.693766938,7.753982301
36,SFG,cxf-2.7.10,3.837920489,7.766839378
37,SFG,cxf-2.7.11,3.735202492,7.722789116
38,SFG,cxf-2.7.14,3.462783172,7.701517707
39,SFG,cxf-2.7.17,3.334415584,7.685714286
40,SFG,cxf-2.7.4,4.630872483,7.459923664
41,SFG,cxf-2.7.6,4.317567568,7.518726592
42,SFG,cxf-2.7.7,3.988732394,7.661691542
43,SFG,cxf-2.7.8,3.929878049,7.738754325
44,SFG,cxf-2.7.9,3.856269113,7.766839378
45,SFG,cxf-3.0.0,2.948630137,4.708737864
46,SFG,cxf-3.0.0-milestone2,3.165242165,6.034068136
47,SFG,cxf-3.0.1,2.707070707,4.528806584
48,SFG,cxf-3.0.11,1.460227273,4.390357698
49,SFG,cxf-3.0.12,1.485436893,5.667747164
50,SFG,cxf-3.0.2,2.443365696,4.335664336
51,SFG,cxf-3.0.3,2.366101695,4.410344828
52,SFG,cxf-3.0.4,2.3003663,4.499165275
53,SFG,cxf-3.0.5,2.11026616,4.47704918
54,SFG,cxf-3.0.6,2,4.482142857
55,SFG,cxf-3.0.7,1.834862385,4.475040258
56,SFG,cxf-3.0.8,1.732057416,4.441823899
57,SFG,cxf-3.0.9,1.68159204,4.410015649
58,SFG,cxf-3.1.0,2.098814229,2.953722334
59,SFG,cxf-3.1.1,2.342857143,3.009280742
60,SFG,cxf-3.1.8,1.531914894,2.411290323
61,SFG,cxf-3.1.9,0,0
0,AFG,cxf-2.1,1.068466731,1.625965997
1,AFG,cxf-2.1.1,1.056902683,1.608823529
2,AFG,cxf-2.1.10,0.995896033,1.594657556
3,AFG,cxf-2.1.4,1.029372937,1.594657556
4,AFG,cxf-2.1.5,1.017946162,1.594657556
5,AFG,cxf-2.2,1.021276596,1.522781018
6,AFG,cxf-2.2.10,0.939914163,1.49754708
7,AFG,cxf-2.2.11,0.930650377,1.49754708
8,AFG,cxf-2.2.2,1.016514998,1.499525316
9,AFG,cxf-2.2.5,0.987753674,1.49754708
10,AFG,cxf-2.2.7,0.961144472,1.49754708
11,AFG,cxf-2.3.0,0.945494994,1.377642008
12,AFG,cxf-2.3.10,0.847809077,1.377498761
13,AFG,cxf-2.3.2,0.927134725,1.377498761
14,AFG,cxf-2.3.3,0.915422886,1.377498761
15,AFG,cxf-2.3.9,0.854191033,1.377498761
16,AFG,cxf-2.4.5,0.825020442,1.280839447
17,AFG,cxf-2.4.6,0.819078947,1.280839447
18,AFG,cxf-2.4.7,0.806143628,1.280839447
19,AFG,cxf-2.4.8,0.798420615,1.280839447
20,AFG,cxf-2.4.9,0.792815372,1.280839447
21,AFG,cxf-2.5.0,0.84079602,1.223980309
22,AFG,cxf-2.5.2,0.81880051,1.232968257
23,AFG,cxf-2.5.3,0.800518135,1.199607563
24,AFG,cxf-2.5.4,0.791031781,1.199607563
25,AFG,cxf-2.5.7,0.767452201,1.199607563
26,AFG,cxf-2.5.8,0.764180438,1.199607563
27,AFG,cxf-2.5.9,0.761990139,1.199607563
28,AFG,cxf-2.6.1,0.787712059,1.169682818
29,AFG,cxf-2.6.11,0.688160677,1.164682927
30,AFG,cxf-2.6.12,0.67940552,1.164682927
31,AFG,cxf-2.6.14,0.677333333,1.164682927
32,AFG,cxf-2.6.15,0.670235546,1.164682927
33,AFG,cxf-2.6.16,0.670235546,1.164682927
34,AFG,cxf-2.6.7,0.722475901,1.164682927
35,AFG,cxf-2.7.1,0.744394619,1.057229525
36,AFG,cxf-2.7.10,0.633979475,1.046435845
37,AFG,cxf-2.7.11,0.628787879,1.046435845
38,AFG,cxf-2.7.14,0.592279855,1.046435845
39,AFG,cxf-2.7.17,0.57325228,1.046435845
40,AFG,cxf-2.7.4,0.708900524,1.046435845
41,AFG,cxf-2.7.6,0.677072121,1.046435845
42,AFG,cxf-2.7.7,0.663888889,1.046435845
43,AFG,cxf-2.7.8,0.651241535,1.046435845
44,AFG,cxf-2.7.9,0.635897436,1.046435845
45,AFG,cxf-3.0.0,0.604026846,0.964021844
46,AFG,cxf-3.0.0-milestone2,0.632081911,0.991914525
47,AFG,cxf-3.0.1,0.580128205,0.903482587
48,AFG,cxf-3.0.11,0.336585366,0.900366544
49,AFG,cxf-3.0.12,0.318333333,0.900366544
50,AFG,cxf-3.0.2,0.541525424,0.900366544
51,AFG,cxf-3.0.3,0.533031674,0.900366544
52,AFG,cxf-3.0.4,0.514563107,0.900366544
53,AFG,cxf-3.0.5,0.497844828,0.900366544
54,AFG,cxf-3.0.6,0.489795918,0.900366544
55,AFG,cxf-3.0.7,0.45074224,0.900366544
56,AFG,cxf-3.0.8,0.420757363,0.900366544
57,AFG,cxf-3.0.9,0.397101449,0.900366544
58,AFG,cxf-3.1.0,0.495412844,0.736864588
59,AFG,cxf-3.1.1,0.545331529,0.731084777
60,AFG,cxf-3.1.8,0.36199095,0.671137026
61,AFG,cxf-3.1.9,0,0
0,BFG,cxf-2.1,3.822410632,9.622364803
1,BFG,cxf-2.1.1,3.78208066,9.542621448
2,BFG,cxf-2.1.10,3.737396884,9.450733272
3,BFG,cxf-2.1.4,3.737396884,9.450733272
