num,Type,version,FBR,FCR
0,SFG,release-1.3.0,3.679245283,4.295454545
1,SFG,release-1.3.1,3.613207547,4.270676692
2,SFG,release-1.4.0,2.464566929,3.690763052
3,SFG,release-1.5.0,1.759615385,2.397435897
4,SFG,release-1.5.0.1,1.726415094,2.388535032
5,SFG,release-1.5.1,1.682692308,2.397435897
6,SFG,release-1.5.2,1.71,2.397435897
7,SFG,release-1.6.0,0,0
0,AFG,release-1.3.0,1.035947712,0.79558011
1,AFG,release-1.3.1,1.016666667,0.79558011
2,AFG,release-1.4.0,0.766949153,0.79558011
3,AFG,release-1.5.0,0.598930481,0.60625
4,AFG,release-1.5.0.1,0.593582888,0.60625
5,AFG,release-1.5.1,0.572192513,0.60625
6,AFG,release-1.5.2,0.576923077,0.60625
7,AFG,release-1.6.0,0,0
0,BFG,release-1.3.0,1.616239316,1.64017094
1,BFG,release-1.3.1,1.616239316,1.64017094
2,BFG,release-1.4.0,1.616239316,1.64017094
3,BFG,release-1.5.0,1.062393162,1.084615385
4,BFG,release-1.5.0.1,1.062393162,1.084615385
5,BFG,release-1.5.1,1.062393162,1.084615385
6,BFG,release-1.5.2,1.062393162,1.084615385
7,BFG,release-1.6.0,0,0
