num,Type,version,FBR,FCR
0,SFG,release-0.1.0,13.82758621,22.27586207
1,SFG,release-0.10.1,2,9
2,SFG,release-0.11.0,2.142857143,9.142857143
3,SFG,release-0.11.1,12.28947368,17.54545455
4,SFG,release-0.12.1,11.43137255,16.69026549
5,SFG,release-0.12.3,11.43137255,16.69026549
6,SFG,release-0.13.0,11.43137255,14.77165354
7,SFG,release-0.14.0,10.73913043,12.86
8,SFG,release-0.14.3,10.73913043,12.86
9,SFG,release-0.14.4,10.73913043,12.86
10,SFG,release-0.15.0,9.396551724,13.61437908
11,SFG,release-0.15.1,9.396551724,13.61437908
12,SFG,release-0.15.3,9.396551724,13.61437908
13,SFG,release-0.16.1,12.80769231,15.28472222
14,SFG,release-0.16.2,2.928571429,8.52
15,SFG,release-0.17.0,10.90540541,15.0621118
16,SFG,release-0.17.1,10.90540541,15.0621118
17,SFG,release-0.18.0,10.74626866,16
18,SFG,release-0.18.1,10.74626866,16
19,SFG,release-0.18.2,10.85333333,16.19745223
20,SFG,release-0.18.3,10.85333333,16.19745223
21,SFG,release-0.19.1,12.84615385,17.48951049
22,SFG,release-0.19.2-rc0,11.04705882,17.70621469
23,SFG,release-0.2.0,15.16981132,22.63366337
24,SFG,release-0.2.1,15.16981132,22.63366337
25,SFG,release-0.20.1,10.725,13.62780269
26,SFG,release-0.20.1-rc0,10.725,13.62780269
27,SFG,release-0.20.1-rc1,10.725,13.62780269
28,SFG,release-0.20.2-rc1,10.725,13.58482143
29,SFG,release-0.20.2-rc2,10.725,13.58482143
30,SFG,release-0.20.2-rc3,10.725,13.58482143
31,SFG,release-0.20.2-rc4,10.725,13.58482143
32,SFG,release-0.20.204-rc1,9.161290323,11.69577465
33,SFG,release-0.20.204.0-rc0,9.161290323,11.69577465
34,SFG,release-0.20.204.0-rc3,9.161290323,11.71751412
35,SFG,release-0.20.205.0,1.774193548,8.479069767
36,SFG,release-0.20.205.0-rc2,1.774193548,8.479069767
37,SFG,release-0.20.3-rc0,10.60493827,13.57142857
38,SFG,release-0.22.0,6.106666667,12.20361991
39,SFG,release-0.22.0-rc0,6.305687204,16.3221216
40,SFG,release-0.23.0,4.650918635,14.07411168
41,SFG,release-0.23.0-rc0,4.52,10.50649351
42,SFG,release-0.23.0-rc1,4.516923077,10.50649351
43,SFG,release-0.23.0-rc2,4.650918635,14.07411168
44,SFG,release-0.23.1-rc0,4.539893617,13.54508612
45,SFG,release-0.23.1-rc1,4.47012987,13.79085603
46,SFG,release-0.23.10-rc0,3.932475884,9.886255924
47,SFG,release-0.23.11,4.015957447,14.0490982
48,SFG,release-0.23.11-rc0,3.919614148,9.886255924
49,SFG,release-0.23.3,4.074193548,9.521276596
50,SFG,release-0.23.3-rc0,4.168,13.68693918
51,SFG,release-0.23.4,4.16,13.68693918
52,SFG,release-0.23.5-rc0,4.064935065,9.856287425
53,SFG,release-0.23.6,4.035598706,9.824582339
54,SFG,release-0.23.6-rc0,4.035598706,9.824582339
55,SFG,release-0.23.6-rc1,4.035598706,9.824582339
56,SFG,release-0.23.7-rc0,4.053191489,14.08148893
57,SFG,release-0.23.8,3.951768489,9.901307967
58,SFG,release-0.23.8-rc0,3.951768489,9.901307967
59,SFG,release-0.23.9-rc0,4.045212766,14.05917753
60,SFG,release-0.3.1,14.67857143,24.75471698
61,SFG,release-0.3.2,14.67857143,24.75471698
62,SFG,release-0.6.1,9.888888889,16.25
63,SFG,release-0.6.2,9.888888889,15.46153846
64,SFG,release-0.8.0,2,9
65,SFG,release-0.9.2,2,8.571428571
66,SFG,release-1.0.0-rc2,9.209090909,13.07636364
67,SFG,release-1.0.0-rc3,9.209090909,13.07636364
68,SFG,release-1.0.1,9.016949153,16.0776699
69,SFG,release-1.0.2,8.440298507,16.53731343
70,SFG,release-1.0.2-rc1,8.803278689,15.73125
71,SFG,release-1.0.2-rc2,8.440298507,16.53731343
72,SFG,release-1.0.3-rc0,8.440298507,16.49404762
73,SFG,release-1.0.3-rc1,8.803278689,15.68847352
74,SFG,release-1.0.4,8.440298507,16.49404762
75,SFG,release-1.0.4-rc0,8.440298507,16.49404762
76,SFG,release-1.1.0,9.352941176,13.03636364
77,SFG,release-1.1.0-rc1,9.352941176,13.03636364
78,SFG,release-1.1.0-rc2,9.352941176,13.03636364
79,SFG,release-1.1.1,9.352941176,13.03636364
80,SFG,release-1.1.2-rc5,9.352941176,13.03636364
81,SFG,release-1.2.0-rc0,9.352941176,13.00724638
82,SFG,release-1.2.0-rc1,9.352941176,13.00724638
83,SFG,release-1.2.1,9.352941176,13.00724638
84,SFG,release-1.2.1-rc0,9.352941176,13.00724638
85,SFG,release-2.0.0-alpha,4.074850299,10.14869467
