num,Type,version,FBR`,FCR
0,SFG,0.1.0,71.6627907,83.57303371
1,SFG,0.1.1,88.10714286,105.3928571
2,SFG,0.1.2,89.06896552,106.4482759
3,SFG,0.1.3,87.17241379,104.2068966
4,SFG,0.18.0,30.8,35.54545455
5,SFG,0.18.1,30.8,39
6,SFG,0.19.0,71,84.45652174
7,SFG,0.19.1,31,39.72727273
8,SFG,0.19.2,71.86666667,84.30434783
9,SFG,0.20.1,33.58571429,38.57142857
10,SFG,0.20.2,33.51428571,38.57142857
11,SFG,0.20.3,33.92957746,39.24358974
12,SFG,0.20.4,30.74117647,36.95604396
13,SFG,0.20.5,31.95,38.08139535
14,SFG,0.20.6,31.95,38.08139535
15,SFG,0.90.0,39.89189189,45.82300885
16,SFG,0.90.1,39.76363636,45.59292035
17,SFG,0.90.2,14.64814815,17.70909091
18,SFG,0.90.3,14.61111111,17.70909091
19,SFG,0.90.4,14.53703704,17.70909091
20,SFG,0.90.5,14.5,17.70909091
21,SFG,0.90.6,14.69811321,17.96296296
22,SFG,0.92.0,13.96296296,17.57407407
23,SFG,0.92.1,13.98148148,17.7037037
24,SFG,0.92.2,19.93103448,25.29310345
25,SFG,0.98.10.1,10.28180039,12.94276094
26,SFG,0.98.11,10.16504854,12.88647746
27,SFG,0.98.12,8.408023483,10.63376835
28,SFG,0.98.12.1,10.10077519,12.9
29,SFG,0.98.13,10.38103161,13.38529412
30,SFG,0.98.14,10.17803661,13.25801749
31,SFG,0.98.15,8.13356974,10.65148305
32,SFG,0.98.16,7.476858345,9.899758454
33,SFG,0.98.16.1,8.087470449,10.65608466
34,SFG,0.98.17,7.975438596,10.45614035
35,SFG,0.98.18,7.934579439,10.43987667
36,SFG,0.98.19,7.883585565,10.41044012
37,SFG,0.98.2,11.98619824,14.12608158
38,SFG,0.98.20,7.223226704,9.669976636
39,SFG,0.98.21,7.934369603,10.6173542
40,SFG,0.98.22,7.918755402,10.62206406
41,SFG,0.98.23,9.731343284,12.92571429
42,SFG,0.98.3,11.86658354,14.08476658
43,SFG,0.98.4,11.6621118,14.10906863
44,SFG,0.98.5,11.60918114,14.09779951
45,SFG,0.98.6,11.50793651,14.11231884
46,SFG,0.98.6.1,11.50671551,14.11231884
47,SFG,0.98.7,8.574338086,10.50854701
48,SFG,0.98.8,9.98,12.47413793
49,SFG,0.98.9,8.376257545,10.49027895
50,SFG,0.99.0,16.62385321,19.7092511
51,SFG,0.99.1,8.801295896,10.73905429
52,SFG,1.0.0,10.28939158,9.243883792
53,SFG,1.0.1,13.25046382,11.81718464
54,SFG,1.0.1.1,10.18653251,9.258725341
55,SFG,1.0.2,10.08594918,9.376005852
56,SFG,1.0.3,9.936708861,9.351311953
57,SFG,1.1.0,11.27439887,10.71232877
58,SFG,1.1.0.1,11.27439887,10.71232877
59,SFG,1.1.1,9.349791377,9.079407806
60,SFG,1.1.2,9.277158774,9.075319435
61,SFG,1.1.3,9.006329114,8.942450914
62,SFG,1.1.4,10.59708029,10.34081346
63,SFG,1.1.6,7.894675926,7.682766191
64,SFG,1.1.7,7.881944444,7.677631579
65,SFG,1.1.8,7.862268519,7.667759563
66,SFG,1.2.0,10.04680851,10.44772118
67,SFG,1.2.1,8.33356546,8.911725955
68,SFG,1.2.2,8.269819193,8.919185283
69,SFG,1.2.3,8.822864322,9.338842975
70,SFG,1.2.4,0,0
0,AFG,0.1.0,2.135742743,2.173559322
1,AFG,0.1.1,2.134889015,2.173559322
2,AFG,0.1.2,2.134319863,2.173559322
3,AFG,0.1.3,2.134319863,2.173559322
4,AFG,0.18.0,2.107511468,2.128263857
5,AFG,0.18.1,2.106108403,2.128263857
6,AFG,0.19.0,2.072722047,2.085570085
7,AFG,0.19.1,2.067299396,2.08281716
8,AFG,0.19.2,2.065304948,2.08281716
9,AFG,0.20.1,2.01971168,2.024469821
10,AFG,0.20.2,2.013827596,2.024469821
11,AFG,0.20.3,2.003824654,2.024469821
12,AFG,0.20.4,2.001471021,2.024469821
13,AFG,0.20.5,2.000882613,2.024469821
14,AFG,0.20.6,2.000882613,2.024469821
15,AFG,0.90.0,1.923886139,1.917858905
16,AFG,0.90.1,1.91769802,1.917858905
17,AFG,0.90.2,1.902537129,1.917858905
18,AFG,0.90.3,1.893564356,1.917858905
19,AFG,0.90.4,1.880878713,1.917858905
20,AFG,0.90.5,1.861386139,1.917858905
21,AFG,0.90.6,1.857054455,1.917858905
