num,Type,version,FBR,FCR
0,SFG,log4j-2.0,3.837962963,9.973180077
1,SFG,log4j-2.0-alpha2,7.851351351,27.15060241
2,SFG,log4j-2.0-beta1,7.791946309,27.11976048
3,SFG,log4j-2.0-beta2,7.228915663,25.47311828
4,SFG,log4j-2.0-beta3,7.850649351,25.13095238
5,SFG,log4j-2.0-beta3-rc1,7.850649351,25.13095238
6,SFG,log4j-2.0-beta3-rc2,7.850649351,25.13095238
7,SFG,log4j-2.0-beta4,6.677595628,22.19680851
8,SFG,log4j-2.0-beta4-rc1,6.677595628,22.34042553
9,SFG,log4j-2.0-beta5,6.328358209,19.98672566
10,SFG,log4j-2.0-beta6,5.748743719,19.5877193
11,SFG,log4j-2.0-beta6-rc1,5.748743719,19.60087719
12,SFG,log4j-2.0-beta7,5.372093023,18.89112903
13,SFG,log4j-2.0-beta7-rc1,5.372093023,18.89112903
14,SFG,log4j-2.0-beta7-rc2,5.372093023,18.89112903
15,SFG,log4j-2.0-beta8,5.273148148,17.75903614
16,SFG,log4j-2.0-beta8-rc1,5.273148148,17.76305221
17,SFG,log4j-2.0-beta9,4.782407407,15.98804781
18,SFG,log4j-2.0-rc1,4.550925926,14.81712062
19,SFG,log4j-2.0-rc1-rc1,4.560185185,14.91050584
20,SFG,log4j-2.0-rc2,3.995305164,10.35249042
21,SFG,log4j-2.0.1,3.801843318,9.893939394
22,SFG,log4j-2.0.2,3.857142857,9.512903226
23,SFG,log4j-2.0.2-site-update,3.870833333,9.600638978
24,SFG,log4j-2.1,3.498054475,8.367647059
25,SFG,log4j-2.1-rc2,3.488372093,8.350877193
26,SFG,log4j-2.1-rc3,3.488372093,8.350877193
27,SFG,log4j-2.2,3.426356589,8.132352941
28,SFG,log4j-2.3,3.407563025,8.314935065
29,SFG,log4j-2.4,3.046875,7.617021277
30,SFG,log4j-2.4.1,2.963917526,7.102880658
31,SFG,log4j-2.5,2.79245283,6.163461538
32,SFG,log4j-2.6,2.655172414,5.336538462
33,SFG,log4j-2.6-rc1,2.655172414,5.336538462
34,SFG,log4j-2.6.1,2.637931034,5.606741573
35,SFG,log4j-2.6.1-rc1,2.637931034,5.606741573
36,SFG,log4j-2.6.2,2.553571429,5.441558442
37,SFG,log4j-2.6.2-rc1,2.754385965,5.804878049
38,SFG,log4j-2.7,1.454545455,2.053571429
39,SFG,log4j-2.7-rc1,1.5,2.033333333
40,SFG,log4j-2.7-rc2,1.454545455,2.053571429
41,SFG,log4j-2.8,1,1
42,SFG,log4j-2.8-rc1,0,0
0,AFG,log4j-2.0,0.483505155,2.5775
1,AFG,log4j-2.0-alpha2,0.643478261,3.377777778
2,AFG,log4j-2.0-beta1,0.637075718,3.368763557
3,AFG,log4j-2.0-beta2,0.632724108,3.344004341
4,AFG,log4j-2.0-beta3,0.626631854,3.214519651
5,AFG,log4j-2.0-beta3-rc1,0.626631854,3.215611354
6,AFG,log4j-2.0-beta3-rc2,0.626631854,3.215065502
7,AFG,log4j-2.0-beta4,0.607017544,3.11481684
8,AFG,log4j-2.0-beta4-rc1,0.607894737,3.122471296
9,AFG,log4j-2.0-beta5,0.598021583,3.085933224
10,AFG,log4j-2.0-beta6,0.594741614,3.073464912
11,AFG,log4j-2.0-beta6-rc1,0.594741614,3.076754386
12,AFG,log4j-2.0-beta7,0.580054895,3.036833425
13,AFG,log4j-2.0-beta7-rc1,0.580054895,3.037383178
14,AFG,log4j-2.0-beta7-rc2,0.580054895,3.036833425
15,AFG,log4j-2.0-beta8,0.567095588,2.989479513
16,AFG,log4j-2.0-beta8-rc1,0.567095588,2.990033223
17,AFG,log4j-2.0-beta9,0.549662488,2.971822887
18,AFG,log4j-2.0-rc1,0.523152709,2.899360093
19,AFG,log4j-2.0-rc1-rc1,0.525123153,2.915165601
20,AFG,log4j-2.0-rc2,0.491335372,2.590852905
21,AFG,log4j-2.0.1,0.47107438,2.55917345
22,AFG,log4j-2.0.2,0.463212435,2.526084224
23,AFG,log4j-2.0.2-site-update,0.463212435,2.526084224
24,AFG,log4j-2.1,0.447198276,2.368673051
25,AFG,log4j-2.1-rc2,0.448275862,2.376693767
26,AFG,log4j-2.1-rc3,0.448275862,2.376693767
27,AFG,log4j-2.2,0.42887931,2.315717227
28,AFG,log4j-2.3,0.408008658,2.26417704
29,AFG,log4j-2.4,0.373081464,2.093272171
30,AFG,log4j-2.4.1,0.356294537,1.986228003
31,AFG,log4j-2.5,0.342205323,1.783557047
32,AFG,log4j-2.6,0.351005484,1.33814433
33,AFG,log4j-2.6-rc1,0.351005484,1.33814433
34,AFG,log4j-2.6.1,0.34264432,1.449142857
35,AFG,log4j-2.6.1-rc1,0.34264432,1.449142857
36,AFG,log4j-2.6.2,0.328244275,1.354876616
37,AFG,log4j-2.6.2-rc1,0.328244275,1.354876616
38,AFG,log4j-2.7,0.294294294,0.657480315
39,AFG,log4j-2.7-rc1,0.304477612,0.680688337
40,AFG,log4j-2.7-rc2,0.294294294,0.657480315
41,AFG,log4j-2.8,0.8,0.6875
42,AFG,log4j-2.8-rc1,0,0
0,BFG,log4j-2.0,2.666102651,5.619853356
1,BFG,log4j-2.0-alpha2,3.637901861,9.490129724
2,BFG,log4j-2.0-beta1,3.620981387,9.45177665
3,BFG,log4j-2.0-beta2,3.611393119,9.347433728
4,BFG,log4j-2.0-beta3,3.588832487,9.031020869
5,BFG,log4j-2.0-beta3-rc1,3.588832487,9.033840948
6,BFG,log4j-2.0-beta3-rc2,3.588832487,9.033840948
7,BFG,log4j-2.0-beta4,3.499717992,8.478849408
8,BFG,log4j-2.0-beta4-rc1,3.500282008,8.509306261
9,BFG,log4j-2.0-beta5,3.410039481,8.349125776
10,BFG,log4j-2.0-beta6,3.283699944,8.203609701
11,BFG,log4j-2.0-beta6-rc1,3.283699944,8.207557812
12,BFG,log4j-2.0-beta7,3.226734349,7.979131416
13,BFG,log4j-2.0-beta7-rc1,3.226734349,7.979695431
14,BFG,log4j-2.0-beta7-rc2,3.226734349,7.979131416
15,BFG,log4j-2.0-beta8,3.196277496,7.686407219
16,BFG,log4j-2.0-beta8-rc1,3.196277496,7.686971235
17,BFG,log4j-2.0-beta9,3.004512126,7.250987028
18,BFG,log4j-2.0-rc1,2.87535251,7.009588268
19,BFG,log4j-2.0-rc1-rc1,2.878736605,7.040609137
20,BFG,log4j-2.0-rc2,2.686407219,5.774957699
21,BFG,log4j-2.0.1,2.653694303,5.596164693
22,BFG,log4j-2.0.2,2.622109419,5.540327129
23,BFG,log4j-2.0.2-site-update,2.622109419,5.540327129
24,BFG,log4j-2.1,2.502538071,5.0642978
25,BFG,log4j-2.1-rc2,2.504230118,5.09249859
26,BFG,log4j-2.1-rc3,2.504230118,5.09249859
27,BFG,log4j-2.2,2.476593345,4.99323181
28,BFG,log4j-2.3,2.443880429,4.897349126
29,BFG,log4j-2.4,2.22786238,4.235758601
30,BFG,log4j-2.4.1,2.196841512,4.098138748
31,BFG,log4j-2.5,2.00676819,3.618725324
32,BFG,log4j-2.6,1.406655386,2.712351946
33,BFG,log4j-2.6-rc1,1.406655386,2.712351946
34,BFG,log4j-2.6.1,1.394247039,2.528482798
35,BFG,log4j-2.6.1-rc1,1.394247039,2.528482798
36,BFG,log4j-2.6.2,1.366046249,2.425267908
37,BFG,log4j-2.6.2-rc1,1.366046249,2.425267908
38,BFG,log4j-2.7,0.9249859,1.428652002
39,BFG,log4j-2.7-rc1,0.930062042,1.45572476
40,BFG,log4j-2.7-rc2,0.9249859,1.428652002
41,BFG,log4j-2.8,0.634517766,0.975183305
42,BFG,log4j-2.8-rc1,0,0
