num,Type,version,FBR,FCR
0,SFG,mahout-0.1,8.18079096,17.18085106
1,SFG,mahout-0.10.0,1.153846154,1.555555556
2,SFG,mahout-0.10.1,1.12,1.538461538
3,SFG,mahout-0.10.2,1,1.545454545
4,SFG,mahout-0.11.0,1,1.375
5,SFG,mahout-0.11.1,1,2
6,SFG,mahout-0.11.2,1,1.6
7,SFG,mahout-0.12.0,1,1.666666667
8,SFG,mahout-0.12.1,0,0
9,SFG,mahout-0.2,7.636029412,15.86379928
10,SFG,mahout-0.3,7.524752475,12.99242424
11,SFG,mahout-0.4,3.310344828,5.613861386
12,SFG,mahout-0.5-RC-1,3.453658537,5.822064057
13,SFG,mahout-0.6,2.841121495,4.761755486
14,SFG,mahout-0.7,2.538793103,4.865131579
15,SFG,mahout-0.8,1.672727273,2.855670103
16,SFG,mahout-0.9,0,0
0,AFG,mahout-0.1,0.423433243,1.011054813
1,AFG,mahout-0.10.0,0.135338346,0.261437908
2,AFG,mahout-0.10.1,0.114503817,0.231788079
3,AFG,mahout-0.10.2,0.108910891,0.231788079
4,AFG,mahout-0.11.0,0.12987013,0.216666667
5,AFG,mahout-0.11.1,0.666666667,1.0625
6,AFG,mahout-0.11.2,1,0.8125
7,AFG,mahout-0.12.0,1,1.142857143
8,AFG,mahout-0.12.1,0,0
9,AFG,mahout-0.2,0.408356546,0.897604509
10,AFG,mahout-0.3,0.447439353,0.8055
11,AFG,mahout-0.4,0.412509308,0.631782946
12,AFG,mahout-0.5-RC-1,0.373899119,0.566137566
13,AFG,mahout-0.6,0.325219085,0.426451613
14,AFG,mahout-0.7,0.30334728,0.407923698
15,AFG,mahout-0.8,0.2328125,0.238768719
16,AFG,mahout-0.9,0,0
0,BFG,mahout-0.1,4.065892924,6.862598278
1,BFG,mahout-0.10.0,0.072631973,0.107076001
2,BFG,mahout-0.10.1,0.070385623,0.10445526
3,BFG,mahout-0.10.2,0.070385623,0.10445526
4,BFG,mahout-0.11.0,0.047922127,0.081991763
5,BFG,mahout-0.11.1,0.021340322,0.055409959
6,BFG,mahout-0.11.2,0.019468364,0.053163609
7,BFG,mahout-0.12.0,0.016473231,0.049419693
8,BFG,mahout-0.12.1,0.015350056,0.04642456
9,BFG,mahout-0.2,3.596780232,5.967802321
10,BFG,mahout-0.3,2.692624485,4.523025084
11,BFG,mahout-0.4,2.122426058,3.14376638
12,BFG,mahout-0.5-RC-1,1.815050543,2.609509547
13,BFG,mahout-0.6,1.28528641,1.734556346
14,BFG,mahout-0.7,1.066267316,1.463496818
15,BFG,mahout-0.8,0.50804942,0.569075253
16,BFG,mahout-0.9,0,0
