num,Type,version,FBR,FCR
0,SFG,0.8.3,6.121212121,24.25641026
1,SFG,0.8.4,6.121212121,24.25641026
2,SFG,0.9.1,7.927272727,26.73770492
3,SFG,0.9.2,8.285714286,27.21153846
4,SFG,0.9.3,8.24,30.57692308
5,SFG,0.9.4,7.935483871,24.33333333
6,SFG,0.9.5,5.413793103,19.5862069
7,SFG,1.0.0,5.266666667,21.26666667
8,SFG,1.0.1,4.9375,20.6875
9,SFG,1.0.10,4.058823529,21.47058824
10,SFG,1.0.2,5.466666667,22.4
11,SFG,1.0.3,5.117647059,21.29411765
12,SFG,1.0.4,4.466666667,22.4
13,SFG,1.0.5,4.294117647,21.76470588
14,SFG,1.0.6,4,21
15,SFG,1.0.7,4.111111111,21.38888889
16,SFG,1.0.8,4.25,21.9375
17,SFG,1.0.9,4.25,21.9375
18,SFG,1.1.0,5.4,20.425
19,SFG,1.1.1,3.872340426,18.29787234
20,SFG,1.1.2,3.787234043,18.29787234
21,SFG,1.1.4,3.625,18.22916667
22,SFG,1.1.5,3.604166667,18.22916667
23,SFG,1.1.6,3.5625,18.22916667
24,SFG,1.1.7,3.520833333,18.22916667
25,SFG,2.0.0,2,2.845070423
26,SFG,2.0.0-M1,2.139240506,10.9
27,SFG,2.0.0-M2,1.547619048,7.129411765
28,SFG,2.0.0-M3,1.523809524,7.105882353
29,SFG,2.0.0-M4,1.285714286,5.946428571
30,SFG,2.0.0-M5,1.25,5.875
31,SFG,2.0.0-M6,1.232142857,4.696428571
32,SFG,2.0.1,2,2.871428571
33,SFG,2.0.10,2,2.898550725
34,SFG,2.0.11,2,2.898550725
35,SFG,2.0.12,2,2.898550725
36,SFG,2.0.13,2,2.898550725
37,SFG,2.0.14,2,2.898550725
38,SFG,2.0.15,2,2.898550725
39,SFG,2.0.16,2,2.898550725
40,SFG,2.0.2,2,2.871428571
41,SFG,2.0.3,2,2.871428571
42,SFG,2.0.4,2,2.871428571
43,SFG,2.0.5,2,2.871428571
44,SFG,2.0.6,2,2.871428571
45,SFG,2.0.7,2,2.871428571
46,SFG,2.0.8,2,2.898550725
47,SFG,2.0.9,2,2.898550725
48,SFG,3.0.0-M2,0,0
0,AFG,0.8.3,0.459064327,1.705117086
1,AFG,0.8.4,0.459064327,1.705117086
2,AFG,0.9.1,0.456140351,1.695727986
3,AFG,0.9.2,0.453216374,1.712633452
4,AFG,0.9.3,0.441997063,1.669039146
5,AFG,0.9.4,0.439349112,1.661016949
6,AFG,0.9.5,0.416296296,1.610017889
7,AFG,1.0.0,0.40504451,1.568079351
8,AFG,1.0.1,0.394658754,1.568079351
9,AFG,1.0.10,0.361702128,1.568079351
10,AFG,1.0.2,0.382789318,1.568079351
11,AFG,1.0.3,0.372403561,1.568079351
12,AFG,1.0.4,0.372340426,1.568079351
13,AFG,1.0.5,0.366261398,1.568079351
14,AFG,1.0.6,0.363221884,1.568079351
15,AFG,1.0.7,0.361702128,1.568079351
16,AFG,1.0.8,0.361702128,1.568079351
17,AFG,1.0.9,0.361702128,1.568079351
18,AFG,1.1.0,0.369436202,1.568079351
19,AFG,1.1.1,0.369300912,1.568079351
20,AFG,1.1.2,0.363221884,1.568079351
21,AFG,1.1.4,0.358662614,1.568079351
22,AFG,1.1.5,0.358662614,1.568079351
23,AFG,1.1.6,0.358662614,1.568079351
24,AFG,1.1.7,0.358662614,1.568079351
25,AFG,2.0.0,0.311111111,0.431919643
26,AFG,2.0.0-M1,0.223958333,0.950323974
27,AFG,2.0.0-M2,0.140625,0.776548673
28,AFG,2.0.0-M3,0.128695652,0.746681416
29,AFG,2.0.0-M4,0.116521739,0.654444444
30,AFG,2.0.0-M5,0.092173913,0.595555556
31,AFG,2.0.0-M6,0.083478261,0.564444444
32,AFG,2.0.1,0.311111111,0.431919643
33,AFG,2.0.10,0.311111111,0.431919643
34,AFG,2.0.11,0.311111111,0.431919643
35,AFG,2.0.12,0.311111111,0.431919643
36,AFG,2.0.13,0.311111111,0.431919643
37,AFG,2.0.14,0.311111111,0.431919643
38,AFG,2.0.15,0.311111111,0.431919643
39,AFG,2.0.16,0.311111111,0.431919643
40,AFG,2.0.2,0.311111111,0.431919643
41,AFG,2.0.3,0.311111111,0.431919643
42,AFG,2.0.4,0.311111111,0.431919643
43,AFG,2.0.5,0.311111111,0.431919643
44,AFG,2.0.6,0.311111111,0.431919643
45,AFG,2.0.7,0.311111111,0.431919643
46,AFG,2.0.8,0.311111111,0.431919643
47,AFG,2.0.9,0.311111111,0.431919643
48,AFG,3.0.0-M2,0,0
0,BFG,0.8.3,2.924731183,9.825567503
1,BFG,0.8.4,2.924731183,9.825567503
2,BFG,0.9.1,2.911589008,9.757467145
3,BFG,0.9.2,2.902031063,9.612903226
4,BFG,0.9.3,2.847072879,9.240143369
5,BFG,0.9.4,2.827956989,9.209080048
6,BFG,0.9.5,2.74432497,8.762246117
7,BFG,1.0.0,2.679808841,8.563918757
8,BFG,1.0.1,2.679808841,8.563918757
9,BFG,1.0.10,2.679808841,8.563918757
10,BFG,1.0.2,2.679808841,8.563918757
11,BFG,1.0.3,2.679808841,8.563918757
12,BFG,1.0.4,2.679808841,8.563918757
13,BFG,1.0.5,2.679808841,8.563918757
14,BFG,1.0.6,2.679808841,8.563918757
15,BFG,1.0.7,2.679808841,8.563918757
16,BFG,1.0.8,2.679808841,8.563918757
17,BFG,1.0.9,2.679808841,8.563918757
18,BFG,1.1.0,2.679808841,8.563918757
19,BFG,1.1.1,2.679808841,8.563918757
20,BFG,1.1.2,2.679808841,8.563918757
21,BFG,1.1.4,2.679808841,8.563918757
22,BFG,1.1.5,2.679808841,8.563918757
23,BFG,1.1.6,2.679808841,8.563918757
24,BFG,1.1.7,2.679808841,8.563918757
25,BFG,2.0.0,0.09557945,0.746714456
26,BFG,2.0.0-M1,1.254480287,4.315412186
27,BFG,2.0.0-M2,1.088410992,3.234169654
28,BFG,2.0.0-M3,1.0609319,3.178016726
29,BFG,2.0.0-M4,0.966547192,2.855436081
30,BFG,2.0.0-M5,0.946236559,2.731182796
31,BFG,2.0.0-M6,0.934289128,1.794504182
32,BFG,2.0.1,0.09557945,0.746714456
33,BFG,2.0.10,0.09557945,0.746714456
34,BFG,2.0.11,0.09557945,0.746714456
35,BFG,2.0.12,0.09557945,0.746714456
36,BFG,2.0.13,0.09557945,0.746714456
37,BFG,2.0.14,0.09557945,0.746714456
38,BFG,2.0.15,0.09557945,0.746714456
39,BFG,2.0.16,0.09557945,0.746714456
40,BFG,2.0.2,0.09557945,0.746714456
41,BFG,2.0.3,0.09557945,0.746714456
42,BFG,2.0.4,0.09557945,0.746714456
43,BFG,2.0.5,0.09557945,0.746714456
44,BFG,2.0.6,0.09557945,0.746714456
45,BFG,2.0.7,0.09557945,0.746714456
46,BFG,2.0.8,0.09557945,0.746714456
47,BFG,2.0.9,0.09557945,0.746714456
48,BFG,3.0.0-M2,0,0
