num,Type,version,FBR,FCR
0,SFG,0.9.6-incubating,9.866666667,13.70758123
1,SFG,1.0.0,10.96842105,15.88421053
2,SFG,1.0.1,10.60416667,15.73195876
3,SFG,1.0.2,10.29347826,15.27956989
4,SFG,1.0.4,10.52688172,15.68085106
5,SFG,1.1.0,5.175159236,6.950464396
6,SFG,1.2.0,5.127329193,6.782477341
7,SFG,1.2.1,5.068111455,6.777108434
8,SFG,1.2.2,4.962068966,6.831360947
9,SFG,1.2.3,4.853242321,6.799418605
10,SFG,2.0.0,1.972972973,3.32
11,SFG,2.0.0-M3,2.833333333,4.304347826
12,SFG,2.0.0-beta,1.52,2.4
13,SFG,2.0.0-beta2,2.25,3.425531915
14,SFG,2.0.0-beta3,2.027777778,3.212765957
15,SFG,2.0.1,1.916666667,3.367346939
16,SFG,2.1.0,3.142857143,4.333333333
17,SFG,2.1.1,2.944444444,4.312138728
18,SFG,2.2.0,2.242647059,2.506666667
19,SFG,2.2.1,2.082304527,1.783251232
20,SFG,2.2.2,2.037190083,1.784313725
21,SFG,2.3.0,1.186046512,1.327868852
22,SFG,2.4.0,1.214285714,1.25
23,SFG,2.4.1,1,1
24,SFG,2.4.1-SNAPSHOT,0,0
0,AFG,0.9.6-incubating,0.407743286,0.808449352
1,AFG,1.0.0,0.390339893,0.771034123
2,AFG,1.0.1,0.377507163,0.771034123
3,AFG,1.0.2,0.375358166,0.771034123
4,AFG,1.0.4,0.380654652,0.771034123
5,AFG,1.1.0,0.364981949,0.708730159
6,AFG,1.2.0,0.361894432,0.675618187
7,AFG,1.2.1,0.355515371,0.675618187
8,AFG,1.2.2,0.415517241,0.675618187
9,AFG,1.2.3,0.404659189,0.675618187
10,AFG,2.0.0,0.368151936,0.5965
11,AFG,2.0.0-M3,0.442332066,0.680187874
12,AFG,2.0.0-beta,0.422377622,0.646720919
13,AFG,2.0.0-beta2,0.409510291,0.629377432
14,AFG,2.0.0-beta3,0.381263617,0.5965
15,AFG,2.0.1,0.361090641,0.5965
16,AFG,2.1.0,0.28141136,0.421017845
17,AFG,2.1.1,0.268398268,0.421017845
18,AFG,2.2.0,0.233654877,0.297766749
19,AFG,2.2.1,0.251954822,0.297766749
20,AFG,2.2.2,0.232660228,0.297766749
21,AFG,2.3.0,0.187165775,0.198748044
22,AFG,2.4.0,0.534883721,0.475
23,AFG,2.4.1,0.5,0.5
24,AFG,2.4.1-SNAPSHOT,0,0
0,BFG,0.9.6-incubating,3.763493026,4.634930261
1,BFG,1.0.0,3.488477865,3.944511825
2,BFG,1.0.1,3.488477865,3.944511825
3,BFG,1.0.2,3.488477865,3.944511825
4,BFG,1.0.4,3.488477865,3.944511825
5,BFG,1.1.0,3.318071559,3.693450576
6,BFG,1.2.0,3.230745907,3.595209218
7,BFG,1.2.1,3.230745907,3.595209218
8,BFG,1.2.2,3.230745907,3.595209218
9,BFG,1.2.3,3.230745907,3.595209218
10,BFG,2.0.0,1.156155246,1.339296543
11,BFG,2.0.0-M3,1.533656762,1.748029109
12,BFG,2.0.0-beta,1.28168587,1.470588235
13,BFG,2.0.0-beta2,1.249545179,1.436325045
14,BFG,2.0.0-beta3,1.156155246,1.339296543
15,BFG,2.0.1,1.156155246,1.339296543
16,BFG,2.1.0,0.891752577,0.966949666
17,BFG,2.1.1,0.891752577,0.966949666
18,BFG,2.2.0,0.554578532,0.603395998
19,BFG,2.2.1,0.554578532,0.603395998
20,BFG,2.2.2,0.554578532,0.603395998
21,BFG,2.3.0,0.324439054,0.365372953
22,BFG,2.4.0,0.149181322,0.167980594
23,BFG,2.4.1,0.135233475,0.150697392
24,BFG,2.4.1-SNAPSHOT,0,0
