num,Type,version,FBR,FCR
0,SFG,1.1.0,3,2.705882353
1,SFG,1.3.0,3,2.647058824
2,SFG,1.3.1,3,2.647058824
3,SFG,1.4.0,3.25,3.111111111
4,SFG,1.6.0,3,2
5,SFG,1.7.0,6.324324324,4.87804878
6,SFG,1.7.1,6.324324324,4.87804878
7,SFG,1.8.0,5.41025641,6.021052632
8,SFG,1.8.10,5.012345679,5.929292929
9,SFG,1.8.11,5,5.929292929
10,SFG,1.8.13,4.926829268,5.91
11,SFG,1.8.2,5.375,6.020618557
12,SFG,1.8.3,5.416666667,6.089108911
13,SFG,1.8.4,5.34939759,6.07
14,SFG,1.8.5,5.325301205,6.07
15,SFG,1.8.6,5.341463415,6.07
16,SFG,1.8.7,5.209876543,5.929292929
17,SFG,1.8.9,5.061728395,5.929292929
18,SFG,2.0.0,2.714285714,4.25
19,SFG,2.0.0-RC2,1,1
20,SFG,2.0.0-RC3,2.875,4.333333333
21,SFG,2.0.2,2.5,3.363636364
22,SFG,2.0.4,0,0
0,AFG,1.1.0,1.249033256,3.286561265
1,AFG,1.3.0,1.1765625,3.19365499
2,AFG,1.3.1,1.175,3.192333113
3,AFG,1.4.0,1.155590305,3.168539326
4,AFG,1.6.0,1.112333071,3.113681428
5,AFG,1.7.0,1.049074819,2.992047714
6,AFG,1.7.1,1.049114332,2.992047714
7,AFG,1.8.0,1.044905009,3.186676428
8,AFG,1.8.10,0.886462882,3.186676428
9,AFG,1.8.11,0.870629371,3.186676428
10,AFG,1.8.13,0.842657343,3.186676428
11,AFG,1.8.2,1.043177893,3.186676428
12,AFG,1.8.3,1.038029386,3.186676428
13,AFG,1.8.4,1.019878997,3.186676428
14,AFG,1.8.5,0.996542783,3.186676428
15,AFG,1.8.6,0.973090278,3.186676428
16,AFG,1.8.7,0.954664342,3.186676428
17,AFG,1.8.9,0.896160558,3.186676428
18,AFG,2.0.0,0.633440514,1.50656168
19,AFG,2.0.0-RC2,0.6774942,1.767820774
20,AFG,2.0.0-RC3,0.675070028,1.64
21,AFG,2.0.2,0.54964539,1.50656168
22,AFG,2.0.4,0,0
0,BFG,1.1.0,5.478787879,5.593535354
1,BFG,1.3.0,5.367676768,5.463434343
2,BFG,1.3.1,5.366464646,5.462222222
3,BFG,1.4.0,5.342626263,5.437979798
4,BFG,1.6.0,5.267878788,5.362424242
5,BFG,1.7.0,5.123232323,5.190707071
6,BFG,1.7.1,5.123232323,5.190707071
7,BFG,1.8.0,4.853737374,4.912323232
8,BFG,1.8.10,4.853737374,4.912323232
9,BFG,1.8.11,4.853737374,4.912323232
10,BFG,1.8.13,4.853737374,4.912323232
11,BFG,1.8.2,4.853737374,4.912323232
12,BFG,1.8.3,4.853737374,4.912323232
13,BFG,1.8.4,4.853737374,4.912323232
14,BFG,1.8.5,4.853737374,4.912323232
15,BFG,1.8.6,4.853737374,4.912323232
16,BFG,1.8.7,4.853737374,4.912323232
17,BFG,1.8.9,4.853737374,4.912323232
18,BFG,2.0.0,1.347474747,1.349090909
19,BFG,2.0.0-RC2,1.526060606,1.527676768
20,BFG,2.0.0-RC3,1.413737374,1.415353535
21,BFG,2.0.2,1.347474747,1.349090909
22,BFG,2.0.4,0,0
