num,Type,version,FBR,FCR
0,SFG,release-0.10.0,4.475409836,3.854785479
1,SFG,release-0.10.0-rc0,4.475409836,3.854785479
2,SFG,release-0.10.0.new,4.475409836,3.840722496
3,SFG,release-0.10.1,4.337995338,3.866995074
4,SFG,release-0.10.1-rc1,4.337995338,3.866995074
5,SFG,release-0.11.0,6.12987013,6.166666667
6,SFG,release-0.11.0-rc0,6.12987013,6.166666667
7,SFG,release-0.11.0-rc1,6.12987013,6.10989011
8,SFG,release-0.11.0-rc2,6.12987013,6.10989011
9,SFG,release-0.11.1,6.205479452,6.090909091
10,SFG,release-0.11.1-rc0,6.205479452,6.090909091
11,SFG,release-0.12.0,5.15942029,4.860465116
12,SFG,release-0.12.0-rc0,5.15942029,4.905882353
13,SFG,release-0.12.0-rc1,5.15942029,4.905882353
14,SFG,release-0.12.0-rc2,5.15942029,4.905882353
15,SFG,release-0.12.1,5.014925373,4.860465116
16,SFG,release-0.13.0,3.951612903,4.242424242
17,SFG,release-0.13.0-rc0,4.016129032,4.242424242
18,SFG,release-0.14.0,3.482142857,4.532258065
19,SFG,release-0.14.0-rc0,3.482142857,4.532258065
20,SFG,release-0.15.0,2.367346939,2.660714286
21,SFG,release-0.15.0-rc0,2.42,2.660714286
22,SFG,release-0.15.0-rc1,2.367346939,2.660714286
23,SFG,release-0.16.0-rc0,1,1
24,SFG,release-0.2.0,13.34810127,15.50609756
25,SFG,release-0.2.0-rc0,13.34810127,15.50609756
26,SFG,release-0.2.0-rc1,13.34810127,15.50609756
27,SFG,release-0.4.0,1.5,2.523809524
28,SFG,release-0.4.0-rc0,1,1.947368421
29,SFG,release-0.5.0,1,1.95
30,SFG,release-0.6.0,4.380952381,5.671232877
31,SFG,release-0.7.0,9.355263158,8.548717949
32,SFG,release-0.8.0,7.623481781,7.368589744
33,SFG,release-0.8.1,7.570850202,7.477707006
34,SFG,release-0.8.1-rc0,7.570850202,7.498402556
35,SFG,release-0.9.0,4.826603325,4.203418803
36,SFG,release-0.9.0-rc0,4.84047619,4.182282794
37,SFG,release-0.9.0-rc1,4.826603325,4.18707483
38,SFG,release-0.9.1,4.852731591,4.23559322
39,SFG,release-0.9.1-rc0,4.852731591,4.219224283
40,SFG,release-0.9.2,4.751184834,4.244519393
41,SFG,release-0.9.2-rc0,4.753554502,4.244519393
42,SFG,release-0.9.2-rc1,0,0
0,AFG,release-0.10.0,0.959921799,0.838562092
1,AFG,release-0.10.0-rc0,0.959921799,0.838562092
2,AFG,release-0.10.0.new,0.959921799,0.838562092
3,AFG,release-0.10.1,0.935230618,0.838562092
4,AFG,release-0.10.1-rc1,0.935230618,0.838562092
5,AFG,release-0.11.0,0.840085288,0.716833096
6,AFG,release-0.11.0-rc0,0.840085288,0.716833096
7,AFG,release-0.11.0-rc1,0.840085288,0.716833096
8,AFG,release-0.11.0-rc2,0.840085288,0.716833096
9,AFG,release-0.11.1,0.835294118,0.716833096
10,AFG,release-0.11.1-rc0,0.835294118,0.716833096
11,AFG,release-0.12.0,0.735074627,0.610367893
12,AFG,release-0.12.0-rc0,0.735074627,0.610367893
13,AFG,release-0.12.0-rc1,0.735074627,0.610367893
14,AFG,release-0.12.0-rc2,0.735074627,0.610367893
15,AFG,release-0.12.1,0.706480305,0.610367893
16,AFG,release-0.13.0,0.606321839,0.515625
17,AFG,release-0.13.0-rc0,0.614060258,0.515625
18,AFG,release-0.14.0,0.610421836,0.629173989
19,AFG,release-0.14.0-rc0,0.610421836,0.629173989
20,AFG,release-0.15.0,0.521912351,0.624183007
21,AFG,release-0.15.0-rc0,0.531746032,0.624183007
22,AFG,release-0.15.0-rc1,0.521912351,0.624183007
23,AFG,release-0.16.0-rc0,0.25,0.466666667
24,AFG,release-0.2.0,1.190793863,1.028714676
25,AFG,release-0.2.0-rc0,1.190793863,1.028714676
26,AFG,release-0.2.0-rc1,1.190793863,1.028714676
