num,Type,version,FBR,FCR
0,SFG,0.1,4.651960784,9.975490196
1,SFG,0.2,10.69354839,20
2,SFG,0.2-rc1,10.85245902,19.671875
3,SFG,0.2-rc2,10.85245902,19.671875
4,SFG,0.3,10.07777778,18.44086022
5,SFG,0.4,9.5,16.29591837
6,SFG,0.5,9.108910891,15.24299065
7,SFG,0.6,8.196428571,13.88135593
8,SFG,0.7,7.726495726,13.7
9,SFG,0.8,6.774193548,12.68589744
10,SFG,0.9,6.50617284,12.74683544
11,SFG,1,4.115942029,9.477832512
12,SFG,1.1,3.472727273,8.430555556
13,SFG,1.1,1.905923345,3.10619469
14,SFG,1.10-rc1,1.905923345,3.10619469
15,SFG,1.11-rc1,1.987854251,3.561403509
16,SFG,1.12-rc1,1.98,3.5
17,SFG,1.13,2.384615385,3.146341463
18,SFG,1.13-rc1,2.384615385,3.146341463
19,SFG,1.14-rc1,1.510638298,1.729166667
20,SFG,1.2,2.576923077,7.078431373
21,SFG,1.3,2.388535032,6.912162162
22,SFG,1.4,2.369426752,6.716216216
23,SFG,1.4-rc2,2.369426752,6.716216216
24,SFG,1.5,2.366863905,6.533333333
25,SFG,1.5-rc1,2.366863905,6.533333333
26,SFG,1.5-rc2,2.366863905,6.533333333
27,SFG,1.6,2.260869565,5.028248588
28,SFG,1.6-rc2,2.260869565,5.028248588
29,SFG,1.7,2.16751269,5.090909091
30,SFG,1.7-rc1,2.16751269,5.193939394
31,SFG,1.7-rc2,2.109004739,5.028735632
32,SFG,1.7-rc3,2.16751269,5.090909091
33,SFG,1.8,1.980769231,3.851351351
34,SFG,1.8-rc1,1.992248062,3.882882883
35,SFG,1.8-rc2,1.980769231,3.851351351
36,SFG,1.9-rc2,0,0
0,AFG,0.1,0.47562777,1.651190476
1,AFG,0.2,0.83537415,2.19022869
2,AFG,0.2-rc1,0.83537415,2.19022869
3,AFG,0.2-rc2,0.83537415,2.19022869
4,AFG,0.3,0.83106267,2.133194589
5,AFG,0.4,0.796169631,2.144694534
6,AFG,0.5,0.751381215,2.088937093
7,AFG,0.6,0.720994475,2.050108932
8,AFG,0.7,0.707756233,2.038461538
9,AFG,0.8,0.613220816,1.895927602
10,AFG,0.9,0.584172662,1.85764294
11,AFG,1,0.437869822,1.610373945
12,AFG,1.1,0.338781575,1.483556638
13,AFG,1.1,0.208530806,0.753649635
14,AFG,1.10-rc1,0.208530806,0.753649635
15,AFG,1.11-rc1,0.208530806,0.955307263
16,AFG,1.12-rc1,0.206951027,0.940828402
17,AFG,1.13,0.491803279,0.834745763
18,AFG,1.13-rc1,0.491803279,0.834745763
19,AFG,1.14-rc1,0.326315789,0.508064516
20,AFG,1.2,0.276497696,1.386363636
21,AFG,1.3,0.234930448,1.324742268
22,AFG,1.4,0.23374613,1.286640726
23,AFG,1.4-rc2,0.23374613,1.286640726
24,AFG,1.5,0.223255814,1.248648649
25,AFG,1.5-rc1,0.223255814,1.248648649
26,AFG,1.5-rc2,0.223255814,1.248648649
27,AFG,1.6,0.220155039,1.045769764
28,AFG,1.6-rc2,0.220155039,1.045769764
29,AFG,1.7,0.218009479,0.915229885
30,AFG,1.7-rc1,0.218009479,0.939655172
31,AFG,1.7-rc2,0.218009479,0.938218391
32,AFG,1.7-rc3,0.218009479,0.915229885
33,AFG,1.8,0.208530806,0.812693498
34,AFG,1.8-rc1,0.210110585,0.818181818
35,AFG,1.8-rc2,0.208530806,0.812693498
36,AFG,1.9-rc2,0,0
0,BFG,0.1,0,0
1,BFG,0.2,5.908133971,6.85645933
2,BFG,0.2-rc1,5.908133971,6.85645933
3,BFG,0.2-rc2,5.908133971,6.85645933
4,BFG,0.3,5.818181818,6.765550239
5,BFG,0.4,5.723444976,6.668899522
6,BFG,0.5,5.555023923,6.490909091
7,BFG,0.6,5.486124402,6.422009569
8,BFG,0.7,5.392344498,6.328229665
9,BFG,0.8,5.006698565,5.890909091
10,BFG,0.9,4.831578947,5.698564593
11,BFG,1,0,0
12,BFG,1.1,4.077511962,4.794258373
13,BFG,1.1,4.077511962,4.794258373
14,BFG,1.10-rc1,2.129186603,2.604784689
15,BFG,1.11-rc1,1.790430622,2.219138756
16,BFG,1.12-rc1,1.755980861,2.179904306
17,BFG,1.13,1.620095694,1.958851675
18,BFG,1.13-rc1,1.620095694,1.958851675
19,BFG,1.14-rc1,1.377033493,1.64784689
20,BFG,1.2,3.693779904,4.398086124
21,BFG,1.3,3.551196172,4.246889952
22,BFG,1.4,3.501435407,4.19138756
23,BFG,1.4-rc2,3.501435407,4.19138756
24,BFG,1.5,3.275598086,3.956937799
25,BFG,1.5-rc1,3.275598086,3.956937799
26,BFG,1.5-rc2,3.275598086,3.956937799
27,BFG,1.6,3.096650718,3.708133971
28,BFG,1.6-rc2,2.954066986,3.549282297
29,BFG,1.7,2.779904306,3.348325359
30,BFG,1.7-rc1,2.795215311,3.367464115
31,BFG,1.7-rc2,2.793301435,3.365550239
32,BFG,1.7-rc3,2.779904306,3.348325359
33,BFG,1.8,2.485167464,3.002870813
34,BFG,1.8-rc1,2.494736842,3.013397129
35,BFG,1.8-rc2,2.485167464,3.002870813
36,BFG,1.9-rc2,0,0
