num,Type,version,FBR,FCR
0,SFG,release-3.0.0,14.37878788,25.47761194
1,SFG,release-3.0.1,14.65625,26.15384615
2,SFG,release-3.0.1-rc0,14.65625,26.15384615
3,SFG,release-3.1.0,10.50549451,20.30526316
4,SFG,release-3.1.0-rc0,10.58888889,20.4787234
5,SFG,release-3.1.0-rc1,10.50549451,20.30526316
6,SFG,release-3.1.0-rc2,10.74736842,20.70707071
7,SFG,release-3.1.1,10.44444444,20.09708738
8,SFG,release-3.1.1-rc0,10.74736842,20.70707071
9,SFG,release-3.1.2,10.625,20.53
10,SFG,release-3.1.2-rc0,10.34,19.93269231
11,SFG,release-3.2.0,8.5,17.5
12,SFG,release-3.2.0-rc0,8.525,17.5078125
13,SFG,release-3.2.1,8.198275862,17.09677419
14,SFG,release-3.2.2,8.283185841,17.38016529
15,SFG,release-3.2.2-rc0,8.32231405,17.39534884
16,SFG,release-3.3.0,6.63559322,16.46212121
17,SFG,release-3.3.1,6.579439252,16.04918033
18,SFG,release-3.3.2,6.401869159,16.04918033
19,SFG,release-3.3.3,6.37037037,15.792
20,SFG,release-3.3.3-rc0,6.221238938,15.38461538
21,SFG,release-3.3.3-rc1,6.37037037,15.792
22,SFG,release-3.3.4,6.077586207,15.38345865
23,SFG,release-3.3.4-rc0,6.300813008,15.99285714
24,SFG,release-3.3.5,6.089285714,15.69767442
25,SFG,release-3.3.5-rc0,6.372881356,16.39259259
26,SFG,release-3.3.5-rc1,6.089285714,15.69767442
27,SFG,release-3.3.6,5.897435897,15.20740741
28,SFG,release-3.3.6-rc0,6.035714286,15.59230769
29,SFG,release-3.4.0,4.816326531,14.16935484
30,SFG,release-3.4.0-rc0,5.408695652,16.35714286
31,SFG,release-3.4.0-rc1,4.948979592,15.12396694
32,SFG,release-3.4.0-rc2,4.816326531,14.16935484
33,SFG,release-3.4.1,4.775510204,14.16935484
34,SFG,release-3.4.1-rc0,4.897959184,15.12396694
35,SFG,release-3.4.2,4.87755102,15.12396694
36,SFG,release-3.4.2-rc0,5.456140351,16.91911765
37,SFG,release-3.4.3,7.175,21.54545455
38,SFG,release-3.4.3-rc0,7.175,21.54545455
39,SFG,release-3.4.4,6.8,21.42857143
40,SFG,release-3.4.4-rc0,5.5,12.85714286
41,SFG,release-3.4.5,5.5,12.85714286
42,SFG,release-3.4.5-rc0,6.8,21.42857143
43,SFG,release-3.4.6,4.941176471,12.58333333
44,SFG,release-3.4.6-rc0,5.707317073,20.86206897
45,SFG,release-3.4.7,0,9.8
46,SFG,release-3.4.7-rc0,0,9.9
47,SFG,release-3.4.8,0,9.9
48,SFG,release-3.4.8-rc0,0,9.8
49,SFG,release-3.5.0,2.144578313,13.52747253
50,SFG,release-3.5.0-rc0,2.109756098,13.8125
51,SFG,release-3.5.1,1.25,12.17307692
52,SFG,release-3.5.1-rc0,1.507692308,11.1183432
53,SFG,release-3.5.1-rc1,1.470588235,13.25405405
54,SFG,release-3.5.1-rc2,1.301886792,11.68072289
55,SFG,release-3.5.1-rc3,1.296296296,13.25405405
56,SFG,release-3.5.1-rc4,0,0
0,AFG,release-3.0.0,1.21085595,0.976162098
1,AFG,release-3.0.1,1.196242171,0.976162098
2,AFG,release-3.0.1-rc0,1.198329854,0.976162098
3,AFG,release-3.1.0,1.14884696,0.976162098
4,AFG,release-3.1.0-rc0,1.14884696,0.976162098
5,AFG,release-3.1.0-rc1,1.14884696,0.976162098
6,AFG,release-3.1.0-rc2,1.14884696,0.976162098
7,AFG,release-3.1.1,1.146750524,0.976162098
8,AFG,release-3.1.1-rc0,1.146750524,0.976162098
9,AFG,release-3.1.2,1.142557652,0.976162098
10,AFG,release-3.1.2-rc0,1.144654088,0.976162098
11,AFG,release-3.2.0,1.097664544,0.976162098
12,AFG,release-3.2.0-rc0,1.097664544,0.976162098
13,AFG,release-3.2.1,1.067940552,0.976162098
14,AFG,release-3.2.2,1.061571125,0.976162098
15,AFG,release-3.2.2-rc0,1.063694268,0.976162098
16,AFG,release-3.3.0,1.023041475,0.976162098
17,AFG,release-3.3.1,1.013856813,0.976162098
18,AFG,release-3.3.2,0.986143187,0.976162098
19,AFG,release-3.3.3,0.997635934,0.976162098
20,AFG,release-3.3.3-rc0,1,0.976162098
21,AFG,release-3.3.3-rc1,0.997635934,0.976162098
22,AFG,release-3.3.4,0.971631206,0.976162098
23,AFG,release-3.3.4-rc0,0.971631206,0.976162098
24,AFG,release-3.3.5,0.964539007,0.976162098
25,AFG,release-3.3.5-rc0,0.964539007,0.976162098
26,AFG,release-3.3.5-rc1,0.964539007,0.976162098
27,AFG,release-3.3.6,0.955082742,0.976162098
28,AFG,release-3.3.6-rc0,0.955082742,0.976162098
29,AFG,release-3.4.0,1.018348624,0.976162098
30,AFG,release-3.4.0-rc0,1.039755352,0.976162098
31,AFG,release-3.4.0-rc1,1.024464832,0.976162098
32,AFG,release-3.4.0-rc2,1.018348624,0.976162098
33,AFG,release-3.4.1,1.012232416,0.976162098
34,AFG,release-3.4.1-rc0,1.012232416,0.976162098
35,AFG,release-3.4.2,1.009174312,0.976162098
36,AFG,release-3.4.2-rc0,1.009174312,0.976162098
37,AFG,release-3.4.3,0.966360856,0.976162098
38,AFG,release-3.4.3-rc0,0.966360856,0.976162098
39,AFG,release-3.4.4,0.903426791,0.976162098
40,AFG,release-3.4.4-rc0,0.903426791,0.976162098
41,AFG,release-3.4.5,0.897196262,0.976162098
42,AFG,release-3.4.5-rc0,0.900311526,0.976162098
43,AFG,release-3.4.6,0.726688103,0.976162098
44,AFG,release-3.4.6-rc0,0.726688103,0.976162098
45,AFG,release-3.4.7,0.635451505,0.976162098
46,AFG,release-3.4.7-rc0,0.635451505,0.976162098
47,AFG,release-3.4.8,0.630872483,0.976162098
48,AFG,release-3.4.8-rc0,0.630872483,0.976162098
49,AFG,release-3.5.0,0.466666667,0.976162098
50,AFG,release-3.5.0-rc0,0.466666667,0.976162098
51,AFG,release-3.5.1,0.464285714,0.976162098
52,AFG,release-3.5.1-rc0,0.407185629,0.976162098
53,AFG,release-3.5.1-rc1,0.382165605,0.976162098
54,AFG,release-3.5.1-rc2,0.360294118,0.976162098
55,AFG,release-3.5.1-rc3,0.333333333,0.976162098
56,AFG,release-3.5.1-rc4,0,0
0,BFG,release-3.0.0,6.029220779,6.082792208
1,BFG,release-3.0.1,6.029220779,6.082792208
2,BFG,release-3.0.1-rc0,6.029220779,6.082792208
3,BFG,release-3.1.0,5.771103896,5.824675325
4,BFG,release-3.1.0-rc0,5.771103896,5.824675325
5,BFG,release-3.1.0-rc1,5.771103896,5.824675325
6,BFG,release-3.1.0-rc2,5.771103896,5.824675325
7,BFG,release-3.1.1,5.771103896,5.824675325
8,BFG,release-3.1.1-rc0,5.771103896,5.824675325
9,BFG,release-3.1.2,5.771103896,5.824675325
10,BFG,release-3.1.2-rc0,5.771103896,5.824675325
11,BFG,release-3.2.0,5.142857143,5.196428571
12,BFG,release-3.2.0-rc0,5.142857143,5.196428571
13,BFG,release-3.2.1,5.142857143,5.196428571
14,BFG,release-3.2.2,5.142857143,5.196428571
15,BFG,release-3.2.2-rc0,5.142857143,5.196428571
16,BFG,release-3.3.0,4.446428571,4.48538961
17,BFG,release-3.3.1,4.446428571,4.48538961
18,BFG,release-3.3.2,4.446428571,4.48538961
19,BFG,release-3.3.3,4.446428571,4.48538961
20,BFG,release-3.3.3-rc0,4.446428571,4.48538961
21,BFG,release-3.3.3-rc1,4.446428571,4.48538961
22,BFG,release-3.3.4,4.446428571,4.48538961
23,BFG,release-3.3.4-rc0,4.446428571,4.48538961
24,BFG,release-3.3.5,4.446428571,4.48538961
25,BFG,release-3.3.5-rc0,4.446428571,4.48538961
26,BFG,release-3.3.5-rc1,4.446428571,4.48538961
27,BFG,release-3.3.6,4.446428571,4.48538961
28,BFG,release-3.3.6-rc0,4.446428571,4.48538961
29,BFG,release-3.4.0,3.363636364,3.396103896
30,BFG,release-3.4.0-rc0,3.363636364,3.396103896
31,BFG,release-3.4.0-rc1,3.363636364,3.396103896
32,BFG,release-3.4.0-rc2,3.363636364,3.396103896
33,BFG,release-3.4.1,3.363636364,3.396103896
34,BFG,release-3.4.1-rc0,3.363636364,3.396103896
35,BFG,release-3.4.2,3.363636364,3.396103896
36,BFG,release-3.4.2-rc0,3.363636364,3.396103896
37,BFG,release-3.4.3,3.363636364,3.396103896
38,BFG,release-3.4.3-rc0,3.363636364,3.396103896
39,BFG,release-3.4.4,3.363636364,3.396103896
40,BFG,release-3.4.4-rc0,3.363636364,3.396103896
41,BFG,release-3.4.5,3.363636364,3.396103896
42,BFG,release-3.4.5-rc0,3.363636364,3.396103896
43,BFG,release-3.4.6,3.363636364,3.396103896
44,BFG,release-3.4.6-rc0,3.363636364,3.396103896
45,BFG,release-3.4.7,3.363636364,3.396103896
46,BFG,release-3.4.7-rc0,3.363636364,3.396103896
47,BFG,release-3.4.8,3.363636364,3.396103896
48,BFG,release-3.4.8-rc0,3.363636364,3.396103896
49,BFG,release-3.5.0,1.855519481,1.855519481
50,BFG,release-3.5.0-rc0,1.855519481,1.855519481
51,BFG,release-3.5.1,1.855519481,1.855519481
52,BFG,release-3.5.1-rc0,1.855519481,1.855519481
53,BFG,release-3.5.1-rc1,1.855519481,1.855519481
54,BFG,release-3.5.1-rc2,1.855519481,1.855519481
55,BFG,release-3.5.1-rc3,1.855519481,1.855519481
56,BFG,release-3.5.1-rc4,0,0
